,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[6,1]",0.0846653,0.00158924,0.1064,0.0553228,0.00141513,0.0442942,0.309139,3808.25,4715.19,36.6647,1.0005
"prob_resp_class[6,2]",0.246919,0.00290268,0.207679,0.204151,0.011964,0.190645,0.663023,4697.56,4975.76,45.2267,1.00042
"prob_resp_class[6,3]",0.154385,0.0023078,0.143747,0.109287,0.0107507,0.109225,0.463848,4041.84,4928.47,38.9136,1.00031
"prob_resp_class[6,4]",0.51403,0.00411085,0.25709,0.308682,0.0930068,0.514968,0.92054,3853.35,5045.97,37.0989,1.00017
"prob_resp_class[7,1]",0.043513,0.00103248,0.0620023,0.0255857,0.000810218,0.0206223,0.163491,3295.89,4632.34,31.7319,1.00075
"prob_resp_class[7,2]",0.0629819,0.00103832,0.0677209,0.0418571,0.00393271,0.0403782,0.195455,3980.68,5341.85,38.3248,1.00051
"prob_resp_class[7,3]",0.331472,0.00432794,0.24966,0.291084,0.0200097,0.282015,0.788587,3190.61,4366.8,30.7182,1.00005
"prob_resp_class[7,4]",0.562033,0.0046373,0.2655,0.326629,0.107563,0.595582,0.936122,3181.16,4815.56,30.6272,1.00037
"prob_resp_class[8,1]",0.0536209,0.00131227,0.0692164,0.0346535,0.00110608,0.0281596,0.189665,2138.61,3499.11,20.5899,1.00153
"prob_resp_class[8,2]",0.0521722,0.00143215,0.0645057,0.0328759,0.00226907,0.0303238,0.17752,2380.46,3314.48,22.9184,1.00205
"prob_resp_class[8,3]",0.418038,0.0077055,0.278839,0.369255,0.0274068,0.403649,0.866083,1300.8,3566.57,12.5237,1.00428
"prob_resp_class[8,4]",0.476169,0.007478,0.289665,0.387541,0.0485311,0.464061,0.924736,1529.71,4247.01,14.7276,1.00296
"prob_resp_class[9,1]",0.047432,0.00122317,0.0724101,0.0258698,0.00058592,0.0198869,0.184781,3126.27,4406.15,30.0988,1.00032
"prob_resp_class[9,2]",0.0701012,0.00133159,0.0849973,0.0448952,0.00272109,0.0395894,0.240259,3473.09,4372.73,33.4378,1.00021
"prob_resp_class[9,3]",0.327139,0.00426062,0.248477,0.286497,0.0192587,0.277748,0.783789,3219.55,4180.1,30.9968,1.00027
"prob_resp_class[9,4]",0.555327,0.00475204,0.267378,0.329374,0.104837,0.582843,0.94116,3069.04,4858.23,29.5477,1.00011
"prob_resp_class[10,1]",0.0352652,0.000787048,0.0485922,0.021075,0.000985342,0.0181467,0.12756,3603.4,4518.3,34.6924,1.00047
"prob_resp_class[10,2]",0.070084,0.00103766,0.0673062,0.0470018,0.00616844,0.050044,0.199833,4297.27,5030.33,41.3728,1.00057
"prob_resp_class[10,3]",0.268675,0.00295899,0.185032,0.195962,0.028971,0.23402,0.61628,3552.66,4047.45,34.2039,1.0
"prob_resp_class[10,4]",0.625976,0.00340215,0.212283,0.243235,0.25128,0.642006,0.936924,3710.6,4732.57,35.7246,0.999706
"prob_resp_class[11,1]",0.0388586,0.000928551,0.0569503,0.0223817,0.000754497,0.0180134,0.14999,3167.6,4321.73,30.4967,1.00028
"prob_resp_class[11,2]",0.0776276,0.00134336,0.0834764,0.0534752,0.00370138,0.0502684,0.253017,3480.58,4226.0,33.51,1.00024
"prob_resp_class[11,3]",0.264512,0.00288434,0.183505,0.192684,0.0291501,0.23112,0.612431,3660.01,4107.11,35.2375,0.999882
"prob_resp_class[11,4]",0.619002,0.00359888,0.217595,0.253323,0.236201,0.634209,0.940579,3432.63,4232.5,33.0484,0.999917
"prob_resp_class[12,1]",0.0497334,0.00115914,0.0647327,0.0310969,0.00145502,0.0264533,0.175408,2441.85,4589.97,23.5094,1.00106
"prob_resp_class[12,2]",0.0566754,0.00123458,0.0615718,0.0368232,0.00424469,0.0377332,0.174808,3079.4,3773.58,29.6476,1.00126
"prob_resp_class[12,3]",0.378084,0.00571237,0.232349,0.285536,0.0364513,0.364926,0.770568,1588.64,3062.78,15.2949,1.00252
"prob_resp_class[12,4]",0.515507,0.00579421,0.248309,0.307751,0.120587,0.512814,0.906854,1903.79,4794.2,18.3291,1.00126
"prob_resp_class[13,1]",0.0397727,0.000876277,0.051872,0.025077,0.00121917,0.0213822,0.142564,2682.64,4597.43,25.8277,1.00099
"prob_resp_class[13,2]",0.0665996,0.00125992,0.0691771,0.0436383,0.00504719,0.045377,0.205014,3365.32,3974.17,32.4003,1.00127
"prob_resp_class[13,3]",0.309821,0.00462906,0.207079,0.238825,0.0336765,0.283642,0.687367,1927.44,3826.35,18.5568,1.00133
"prob_resp_class[13,4]",0.583807,0.00464093,0.226212,0.268405,0.198092,0.596101,0.923775,2420.89,4757.32,23.3076,1.00069
"prob_resp_class[14,1]",0.0243609,0.00128502,0.042769,0.0112583,0.000379531,0.00896815,0.102465,1394.64,2101.72,13.4272,1.00392
"prob_resp_class[14,2]",0.0816422,0.00149019,0.0822614,0.0553848,0.00567437,0.0548551,0.249083,2787.25,4375.45,26.8348,1.00135
"prob_resp_class[14,3]",0.191501,0.00827733,0.209377,0.110515,0.0101422,0.104262,0.674712,875.102,2389.74,8.42522,1.00371
"prob_resp_class[14,4]",0.702496,0.00836036,0.231944,0.197156,0.204514,0.769137,0.963587,1036.92,1894.65,9.98313,1.00488
"prob_resp_class[15,1]",0.190945,0.00475282,0.204083,0.146947,0.00297231,0.113719,0.629514,1280.47,2757.48,12.3279,1.00181
"prob_resp_class[15,2]",0.117049,0.00497198,0.161215,0.0613145,0.00228771,0.0491742,0.500281,1268.35,2194.48,12.2113,1.00703
