,R_hat
"prob_resp_class[55,1]",
"prob_resp_class[55,2]",
"prob_resp_class[55,3]",
"prob_resp_class[55,4]",
"prob_resp_class[56,1]",
"prob_resp_class[56,2]",
"prob_resp_class[56,3]",
"prob_resp_class[56,4]",
"prob_resp_class[57,1]",
"prob_resp_class[57,2]",
"prob_resp_class[57,3]",
"prob_resp_class[57,4]",
"prob_resp_class[58,1]",
"prob_resp_class[58,2]",
"prob_resp_class[58,3]",
"prob_resp_class[58,4]",
"prob_resp_class[59,1]",
"prob_resp_class[59,2]",
"prob_resp_class[59,3]",
"prob_resp_class[59,4]",
"prob_resp_class[60,1]",
"prob_resp_class[60,2]",
