,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_nu[4],-2.61331,0.0159116,1.23918,1.10172,-4.94452,-2.38719,-1.05857,9572.0,4219.19,1345.33,0.999827
log_nu[5],-2.57822,0.0157927,1.20407,1.0477,-4.76141,-2.3602,-1.07091,9244.84,4367.52,1299.35,0.999876
log_nu[6],-2.61406,0.0167668,1.26418,1.0923,-4.95589,-2.34858,-1.03895,8822.26,4634.91,1239.95,1.00142
log_nu[7],-2.58567,0.0159128,1.24305,1.09451,-4.90962,-2.35864,-1.03317,10368.0,4535.85,1457.2,1.00009
log_nu[8],-2.58904,0.0143738,1.20143,1.05349,-4.89915,-2.34975,-1.06088,10272.4,4584.62,1443.77,1.00061
"y_rep[1,1]",0.4955,0.00553418,0.500011,0.0,0.0,0.0,1.0,8169.19,8169.19,1148.16,0.999987
"y_rep[1,2]",0.502,,0.500027,0.0,0.0,1.0,1.0,8180.0,8180.0,1149.68,1.00045
"y_rep[1,3]",0.50325,0.00559174,0.500021,0.0,0.0,1.0,1.0,8057.9,8057.9,1132.52,0.999755
"y_rep[1,4]",0.660875,,0.473442,0.0,0.0,1.0,1.0,6951.61,6951.61,977.036,0.99985
"y_rep[1,5]",0.198,0.00445647,0.398517,0.0,0.0,0.0,1.0,8000.44,8000.44,1124.45,1.0001
"y_rep[1,6]",0.499,0.00551069,0.50003,0.0,0.0,0.0,1.0,8240.63,8240.63,1158.21,1.00017
"y_rep[1,7]",0.4915,,0.499959,0.0,0.0,0.0,1.0,8573.16,8573.16,1204.94,0.999971
"y_rep[2,1]",0.498625,,0.500029,0.0,0.0,0.0,1.0,7259.81,7259.81,1020.35,0.99983
"y_rep[2,2]",0.50025,0.0056609,0.500031,0.0,0.0,1.0,1.0,7825.46,7825.46,1099.85,0.999863
"y_rep[2,3]",0.496125,,0.500016,0.0,0.0,0.0,1.0,7695.66,7695.66,1081.61,1.0002
"y_rep[2,4]",0.6485,,0.477469,0.0,0.0,1.0,1.0,8232.86,8232.86,1157.11,1.00029
"y_rep[2,5]",0.198125,0.00452121,0.398612,0.0,0.0,0.0,1.0,7823.49,7823.49,1099.58,1.00019
"y_rep[2,6]",0.503,,0.500022,0.0,0.0,1.0,1.0,,,,
"y_rep[2,7]",0.498,0.00542445,0.500027,0.0,0.0,0.0,1.0,8518.23,8518.23,1197.22,1.00071
"y_rep[3,1]",0.49175,0.00566672,0.499963,0.0,0.0,0.0,1.0,7855.23,7855.23,1104.04,0.99997
"y_rep[3,2]",0.485375,0.00545369,0.499817,0.0,0.0,0.0,1.0,8404.66,8404.66,1181.26,0.999764
"y_rep[3,3]",0.503375,0.00546766,0.50002,0.0,0.0,1.0,1.0,8366.85,8366.85,1175.94,1.00006
"y_rep[3,4]",0.651,0.00534302,0.476684,0.0,0.0,1.0,1.0,7967.46,7967.46,1119.81,0.999834
"y_rep[3,5]",0.191875,0.00454646,0.3938,0.0,0.0,0.0,1.0,7525.3,7525.3,1057.67,0.999885
"y_rep[3,6]",0.5,0.0055064,0.500031,0.7413,0.0,0.5,1.0,8254.49,8254.49,1160.15,
"y_rep[3,7]",0.4875,0.00559283,0.499875,0.0,0.0,0.0,1.0,8048.62,8048.62,1131.22,1.00012
"y_rep[4,1]",0.4945,0.00559801,0.500001,0.0,0.0,0.0,1.0,8057.13,8057.13,1132.41,0.999955
"y_rep[4,2]",0.49475,0.00543993,0.500004,0.0,0.0,0.0,1.0,8449.93,8449.93,1187.62,1.0004
"y_rep[4,3]",0.498375,0.00554379,0.500029,0.0,0.0,0.0,1.0,8144.36,8144.36,1144.67,1.00008
"y_rep[4,4]",0.646,,0.478239,0.0,0.0,1.0,1.0,8193.37,8193.37,1151.56,0.999878
"y_rep[4,5]",0.198625,,0.39899,0.0,0.0,0.0,1.0,7574.6,7574.6,1064.6,1.00018
"y_rep[4,6]",0.488625,0.0055049,0.499902,0.0,0.0,0.0,1.0,8328.91,8328.91,1170.61,0.99988
"y_rep[4,7]",0.506375,,0.499991,0.0,0.0,1.0,1.0,8012.9,8012.9,1126.2,0.999914
"y_rep[5,1]",0.49725,0.00552491,0.500024,0.0,0.0,0.0,1.0,8206.53,8206.53,1153.41,0.999716
"y_rep[5,2]",0.500125,0.00557025,0.500031,0.0,0.0,1.0,1.0,8135.45,8135.45,1143.42,0.999637
"y_rep[5,3]",0.49975,0.00554446,0.500031,0.0,0.0,0.0,1.0,8130.27,8130.27,1142.69,0.99988
"y_rep[5,4]",0.656875,0.0051512,0.474782,0.0,0.0,1.0,1.0,8507.64,8507.64,1195.73,1.00052
"y_rep[5,5]",0.200875,,0.40068,0.0,0.0,0.0,1.0,7843.66,7843.66,1102.41,1.00016
"y_rep[5,6]",0.498625,0.00544233,0.500029,0.0,0.0,0.0,1.0,8448.8,8448.8,1187.46,1.00028
"y_rep[5,7]",0.495,0.00561245,0.500006,0.0,0.0,0.0,1.0,7955.5,7955.5,1118.13,0.999949
"y_rep[6,1]",0.50475,0.00551505,0.500009,0.0,0.0,1.0,1.0,8227.52,8227.52,1156.36,1.00053
"y_rep[6,2]",0.500375,0.00550044,0.500031,0.0,0.0,1.0,1.0,8301.46,8301.46,1166.75,1.0001
"y_rep[6,3]",0.504,0.00555379,0.500015,0.0,0.0,1.0,1.0,8116.94,8116.94,1140.82,0.999934
"y_rep[6,4]",0.650625,0.00530269,0.476802,0.0,0.0,1.0,1.0,8097.69,8097.69,1138.12,1.00012
"y_rep[6,5]",0.200625,,0.400493,0.0,0.0,0.0,1.0,,,,
"y_rep[6,6]",0.501375,0.00557027,0.500029,0.0,0.0,1.0,1.0,8066.8,8066.8,1133.77,1.00044
"y_rep[6,7]",0.499125,0.00563351,0.50003,0.0,0.0,0.0,1.0,7906.33,7906.33,1111.22,1.0004
"y_rep[7,1]",0.5,0.00559427,0.500031,0.7413,0.0,0.5,1.0,8075.93,8075.93,1135.06,
"y_rep[7,2]",0.503875,0.0057245,0.500016,0.0,0.0,1.0,1.0,7658.83,7658.83,1076.43,1.00001
"y_rep[7,3]",0.500875,0.00536864,0.50003,0.0,0.0,1.0,1.0,8698.24,8698.24,1222.52,0.999749
"y_rep[7,4]",0.655,,0.475398,0.0,0.0,1.0,1.0,,,,
"y_rep[7,5]",0.20525,,0.403909,0.0,0.0,0.0,1.0,,,,
"y_rep[7,6]",0.4965,,0.500019,0.0,0.0,0.0,1.0,8031.12,8031.12,1128.76,0.999856
"y_rep[7,7]",0.498125,0.00556529,0.500028,0.0,0.0,0.0,1.0,8074.39,8074.39,1134.84,1.00015
"y_rep[8,1]",0.504125,0.00553381,0.500014,0.0,0.0,1.0,1.0,8169.49,8169.49,1148.21,0.999622
"y_rep[8,2]",0.50225,,0.500026,0.0,0.0,1.0,1.0,7819.43,7819.43,1099.01,0.999878
"y_rep[8,3]",0.497625,0.00549764,0.500026,0.0,0.0,0.0,1.0,8281.22,8281.22,1163.91,0.999695
"y_rep[8,4]",0.652125,0.00529956,0.476326,0.0,0.0,1.0,1.0,8098.5,8098.5,1138.23,1.00032
"y_rep[8,5]",0.192625,,0.394386,0.0,0.0,0.0,1.0,7960.01,7960.01,1118.76,0.99994
"y_rep[8,6]",0.500875,0.00549223,0.50003,0.0,0.0,1.0,1.0,8313.76,8313.76,1168.48,0.99997
"y_rep[8,7]",0.49775,0.00555701,0.500026,0.0,0.0,0.0,1.0,8104.99,8104.99,1139.14,0.999652
"y_rep[9,1]",0.505625,,0.5,0.0,0.0,1.0,1.0,8235.47,8235.47,1157.48,0.999901
"y_rep[9,2]",0.504375,0.00558753,0.500012,0.0,0.0,1.0,1.0,8050.54,8050.54,1131.49,1.0005
"y_rep[9,3]",0.49975,0.00545219,0.500031,0.0,0.0,0.0,1.0,8414.4,8414.4,1182.63,0.999968
"y_rep[9,4]",0.644875,0.00537239,0.478581,0.0,0.0,1.0,1.0,7944.58,7944.58,1116.6,0.999737
"y_rep[9,5]",0.195,,0.396225,0.0,0.0,0.0,1.0,,,,
"y_rep[9,6]",0.49575,0.00556619,0.500013,0.0,0.0,0.0,1.0,8080.26,8080.26,1135.67,0.999877
"y_rep[9,7]",0.50125,0.00552933,0.50003,0.0,0.0,1.0,1.0,8186.68,8186.68,1150.62,0.999912
"y_rep[10,1]",0.491875,0.00558485,0.499965,0.0,0.0,0.0,1.0,8034.14,8034.14,1129.18,0.999654
"y_rep[10,2]",0.4975,0.0056335,0.500025,0.0,0.0,0.0,1.0,7906.47,7906.47,1111.24,1.00009
"y_rep[10,3]",0.493375,0.0056508,0.499987,0.0,0.0,0.0,1.0,7887.32,7887.32,1108.55,1.00005
"y_rep[10,4]",0.64825,,0.477546,0.0,0.0,1.0,1.0,8070.6,8070.6,1134.31,1.00003
"y_rep[10,5]",0.19925,,0.399461,0.0,0.0,0.0,1.0,7885.26,7885.26,1108.26,0.999766
